sale_id,visitor_id,ticket_id,sale_datetime,price_paid,payment_method
S001,V001,TK1,2025-10-01 09:12,15,card
S002,V002,TK4,2025-10-01 10:05,7,cash
S003,V003,TK1,2025-10-01 11:40,15,card
S004,V004,TK5,2025-10-02 14:22,10,card
S005,V005,TK2,2025-10-02 15:10,15,cash
S006,V006,TK7,2025-10-03 09:55,12,card
S007,V007,TK1,2025-10-03 13:05,15,card
S008,V008,TK4,2025-10-03 16:44,7,cash
S009,V009,TK2,2025-10-04 10:11,15,card
S010,V010,TK2,2025-10-04 10:15,15,cash
S011,V011,TK5,2025-10-04 11:33,10,card
S012,V012,TK1,2025-10-04 14:20,15,card
S013,V013,TK4,2025-10-05 09:40,7,cash
S014,V014,TK2,2025-10-05 10:12,15,card
S015,V015,TK1,2025-10-05 15:44,15,card
S016,V016,TK5,2025-10-06 11:10,10,card
S017,V017,TK2,2025-10-06 14:55,15,cash
S018,V018,TK3,2025-10-07 10:22,7,card
S019,V019,TK1,2025-10-07 12:44,15,card
S020,V020,TK2,2025-10-08 13:11,15,cash
S021,V021,TK1,2025-10-09 09:55,15,card
S022,V022,TK7,2025-10-09 14:10,12,cash
S023,V023,TK1,2025-10-10 10:05,15,card
S024,V024,TK4,2025-10-10 11:55,7,cash
S025,V025,TK2,2025-10-11 09:20,15,cash
S026,V026,TK2,2025-10-11 10:11,15,card
S027,V027,TK5,2025-10-11 13:33,10,card
S028,V028,TK1,2025-10-12 11:40,15,card
S029,V029,TK2,2025-10-12 14:12,15,cash
S030,V030,TK3,2025-10-13 09:55,7,card
S031,V031,TK1,2025-10-14 11:20,15,card
S032,V032,TK2,2025-10-15 10:40,15,cash
S033,V033,TK5,2025-10-16 13:14,10,card
S034,V034,TK2,2025-10-17 14:55,15,cash
S035,V035,TK2,2025-10-18 10:22,15,card
S036,V036,TK4,2025-10-18 11:40,7,cash
S037,V037,TK1,2025-10-19 15:44,15,card
S038,V038,TK2,2025-10-20 10:02,15,cash
S039,V039,TK1,2025-10-21 11:14,15,card
S040,V040,TK7,2025-10-22 15:40,12,cash
