visitor_id,age_group,is_member
V001,adult,FALSE
V002,child,FALSE
V003,adult,TRUE
V004,senior,FALSE
V005,adult,FALSE
V006,adult,FALSE
V007,adult,TRUE
V008,child,FALSE
V009,adult,FALSE
V010,adult,FALSE
V011,senior,FALSE
V012,adult,TRUE
V013,child,FALSE
V014,adult,FALSE
V015,adult,FALSE
V016,senior,FALSE
V017,adult,FALSE
V018,child,FALSE
V019,adult,FALSE
V020,adult,FALSE
V021,adult,FALSE
V022,group,FALSE
V023,adult,TRUE
V024,child,FALSE
V025,adult,FALSE
V026,adult,TRUE
V027,senior,FALSE
V028,adult,FALSE
V029,adult,FALSE
V030,child,FALSE
V031,adult,TRUE
V032,adult,FALSE
V033,senior,FALSE
V034,adult,FALSE
V035,adult,FALSE
V036,child,FALSE
V037,adult,TRUE
V038,adult,FALSE
V039,adult,FALSE
V040,group,FALSE
V041,adult,FALSE
V042,child,FALSE
V043,adult,TRUE
V044,senior,FALSE
V045,adult,FALSE
V046,adult,FALSE
V047,adult,TRUE
V048,child,FALSE
V049,adult,FALSE
V050,adult,FALSE
V051,senior,FALSE
V052,adult,TRUE
V053,child,FALSE
V054,adult,FALSE
V055,adult,FALSE
V056,senior,FALSE
V057,adult,FALSE
V058,child,FALSE
V059,adult,FALSE
V060,adult,FALSE
V061,adult,FALSE
V062,group,FALSE
V063,adult,TRUE
V064,child,FALSE
V065,adult,FALSE
V066,adult,TRUE
V067,senior,FALSE
V068,adult,FALSE
V069,adult,FALSE
V070,child,FALSE
V071,adult,TRUE
V072,adult,FALSE
V073,senior,FALSE
V074,adult,FALSE
V075,adult,FALSE
V076,child,FALSE
V077,adult,TRUE
V078,adult,FALSE
V079,adult,FALSE
V080,group,FALSE
V081,adult,FALSE
V082,child,FALSE
V083,adult,TRUE
V084,senior,FALSE
V085,adult,FALSE
V086,adult,FALSE
V087,adult,TRUE
V088,child,FALSE
V089,adult,FALSE
V090,adult,FALSE
V091,senior,FALSE
V092,adult,TRUE
V093,child,FALSE
V094,adult,FALSE
V095,adult,FALSE
V096,senior,FALSE
V097,adult,FALSE
V098,child,FALSE
V099,adult,FALSE
V100,adult,FALSE
V101,adult,FALSE
V102,group,FALSE
V103,adult,TRUE
V104,child,FALSE
V105,adult,FALSE
V106,adult,TRUE
V107,senior,FALSE
V108,adult,FALSE
V109,adult,FALSE
V110,child,FALSE
V111,adult,TRUE
V112,adult,FALSE
V113,senior,FALSE
V114,adult,FALSE
V115,adult,FALSE
V116,child,FALSE
V117,adult,TRUE
V118,adult,FALSE
V119,adult,FALSE
V120,group,FALSE
V121,adult,FALSE
V122,child,FALSE
V123,adult,TRUE
V124,senior,FALSE
V125,adult,FALSE
V126,adult,FALSE
V127,adult,TRUE
V128,child,FALSE
V129,adult,FALSE
V130,adult,FALSE
V131,senior,FALSE
V132,adult,TRUE
V133,child,FALSE
V134,adult,FALSE
V135,adult,FALSE
V136,senior,FALSE
V137,adult,FALSE
V138,child,FALSE
V139,adult,FALSE
V140,adult,FALSE
V141,adult,FALSE
V142,group,FALSE
V143,adult,TRUE
V144,child,FALSE
V145,adult,FALSE
V146,adult,TRUE
V147,senior,FALSE
V148,adult,FALSE
V149,adult,FALSE
V150,child,FALSE
V151,adult,TRUE
V152,adult,FALSE
V153,senior,FALSE
V154,adult,FALSE
V155,adult,FALSE
V156,child,FALSE
V157,adult,TRUE
V158,adult,FALSE
V159,adult,FALSE
V160,group,FALSE
V161,adult,FALSE
V162,child,FALSE
V163,adult,TRUE
V164,senior,FALSE
V165,adult,FALSE
V166,adult,FALSE
V167,adult,TRUE
V168,child,FALSE
V169,adult,FALSE
V170,adult,FALSE
