visit_id,visitor_id,ticket_id,visit_date,entry_time,exit_time,visit_duration
VST001,V001,TK1,2025-10-01,09:30,11:00,90
VST002,V002,TK1,2025-10-01,10:00,11:20,80
VST003,V003,TK2,2025-10-01,11:15,13:00,105
VST004,V004,TK3,2025-10-01,12:00,13:10,70
VST005,V005,TK1,2025-10-01,12:45,14:30,105
VST006,V006,TK4,2025-10-01,13:20,14:50,90
VST007,V007,TK2,2025-10-01,14:10,15:40,90
VST008,V008,TK1,2025-10-01,15:00,16:15,75
VST009,V009,TK3,2025-10-01,15:30,17:10,100
VST010,V010,TK2,2025-10-01,16:10,17:45,95
VST011,V011,TK1,2025-10-02,9:20,10:40,80
VST012,V012,TK3,2025-10-02,9:45,11:00,75
VST013,V013,TK2,2025-10-02,10:10,11:50,100
VST014,V014,TK4,2025-10-02,10:30,12:00,90
VST015,V015,TK1,2025-10-02,11:05,12:20,75
VST016,V016,TK3,2025-10-02,11:30,13:00,90
VST017,V017,TK1,2025-10-02,12:00,13:25,85
VST018,V018,TK2,2025-10-02,12:25,13:40,75
VST019,V019,TK4,2025-10-02,13:00,14:30,90
VST020,V020,TK1,2025-10-02,13:40,15:00,80
VST021,V021,TK2,2025-10-03,9:10,10:30,80
VST022,V022,TK3,2025-10-03,9:40,11:10,90
VST023,V023,TK1,2025-10-03,10:00,11:15,75
VST024,V024,TK4,2025-10-03,10:20,12:00,100
VST025,V025,TK2,2025-10-03,11:00,12:30,90
VST026,V026,TK3,2025-10-03,11:30,12:50,80
VST027,V027,TK1,2025-10-03,12:00,13:10,70
VST028,V028,TK2,2025-10-03,12:20,13:50,90
VST029,V029,TK3,2025-10-03,13:00,14:30,90
VST030,V030,TK4,2025-10-03,13:30,15:00,90
VST031,V031,TK1,2025-10-04,9:30,11:00,90
VST032,V032,TK3,2025-10-04,10:00,11:20,80
VST033,V033,TK2,2025-10-04,10:30,12:00,90
VST034,V034,TK4,2025-10-04,11:00,12:40,100
VST035,V035,TK1,2025-10-04,11:30,12:45,75
VST036,V036,TK3,2025-10-04,12:00,13:20,80
VST037,V037,TK2,2025-10-04,12:30,14:00,90
VST038,V038,TK1,2025-10-04,13:00,14:20,80
VST039,V039,TK3,2025-10-04,13:30,15:00,90
VST040,V040,TK4,2025-10-04,14:00,15:20,80
VST041,V041,TK1,2025-10-05,9:15,10:45,90
VST042,V042,TK3,2025-10-05,9:50,11:00,70
VST043,V043,TK2,2025-10-05,10:10,11:40,90
VST044,V044,TK4,2025-10-05,10:40,12:10,90
VST045,V045,TK1,2025-10-05,11:00,12:30,90
VST046,V046,TK3,2025-10-05,11:30,12:50,80
VST047,V047,TK2,2025-10-05,12:00,13:20,80
VST048,V048,TK1,2025-10-05,12:20,13:40,80
VST049,V049,TK3,2025-10-05,13:00,14:30,90
VST050,V050,TK4,2025-10-05,13:30,15:00,90
VST051,V051,TK1,2025-10-06,9:20,10:40,80
VST052,V052,TK2,2025-10-06,9:45,11:00,75
VST053,V053,TK3,2025-10-06,10:10,11:30,80
VST054,V054,TK4,2025-10-06,10:30,11:50,80
VST055,V055,TK1,2025-10-06,11:00,12:30,90
VST056,V056,TK2,2025-10-06,11:20,12:40,80
VST057,V057,TK3,2025-10-06,12:00,13:15,75
VST058,V058,TK4,2025-10-06,12:30,14:00,90
VST059,V059,TK1,2025-10-06,13:00,14:10,70
VST060,V060,TK2,2025-10-06,13:30,15:00,90
VST061,V061,TK3,2025-10-07,9:25,10:45,80
VST062,V062,TK1,2025-10-07,9:50,11:00,70
VST063,V063,TK2,2025-10-07,10:20,11:50,90
VST064,V064,TK4,2025-10-07,10:40,12:10,90
VST065,V065,TK3,2025-10-07,11:10,12:20,70
VST066,V066,TK1,2025-10-07,11:30,12:50,80
VST067,V067,TK2,2025-10-07,12:00,13:20,80
VST068,V068,TK4,2025-10-07,12:30,14:00,90
VST069,V069,TK1,2025-10-07,13:00,14:30,90
VST070,V070,TK3,2025-10-07,13:30,15:00,90
VST071,V071,TK1,2025-10-08,9:10,10:40,90
VST072,V072,TK2,2025-10-08,9:45,11:00,75
VST073,V073,TK3,2025-10-08,10:20,11:30,70
VST074,V074,TK4,2025-10-08,10:50,12:20,90
VST075,V075,TK1,2025-10-08,11:00,12:20,80
VST076,V076,TK2,2025-10-08,11:30,12:45,75
VST077,V077,TK3,2025-10-08,12:00,13:30,90
VST078,V078,TK1,2025-10-08,12:20,13:40,80
VST079,V079,TK4,2025-10-08,13:00,14:20,80
VST080,V080,TK2,2025-10-08,13:30,15:00,90
VST081,V081,TK1,2025-10-09,9:15,10:40,85
VST082,V082,TK2,2025-10-09,9:40,11:00,80
VST083,V083,TK3,2025-10-09,10:10,11:30,80
VST084,V084,TK4,2025-10-09,10:40,12:00,80
VST085,V085,TK1,2025-10-09,11:00,12:15,75
VST086,V086,TK2,2025-10-09,11:30,12:50,80
VST087,V087,TK3,2025-10-09,12:00,13:10,70
VST088,V088,TK4,2025-10-09,12:20,13:40,80
VST089,V089,TK1,2025-10-09,13:00,14:20,80
VST090,V090,TK2,2025-10-09,13:30,15:00,90
VST091,V091,TK3,2025-10-10,9:10,10:40,90
VST092,V092,TK1,2025-10-10,9:40,10:55,75
VST093,V093,TK2,2025-10-10,10:10,11:30,80
VST094,V094,TK4,2025-10-10,10:45,12:00,75
VST095,V095,TK3,2025-10-10,11:00,12:20,80
VST096,V096,TK2,2025-10-10,11:25,12:50,85
VST097,V097,TK1,2025-10-10,12:00,13:20,80
VST098,V098,TK4,2025-10-10,12:30,14:00,90
VST099,V099,TK3,2025-10-10,13:00,14:15,75
VST100,V100,TK2,2025-10-10,13:30,15:00,90
VST101,V101,TK1,2025-10-11,9:15,10:40,85
VST102,V102,TK2,2025-10-11,9:40,11:00,80
VST103,V103,TK3,2025-10-11,10:10,11:30,80
VST104,V104,TK4,2025-10-11,10:45,12:05,80
VST105,V105,TK1,2025-10-11,11:10,12:30,80
VST106,V106,TK2,2025-10-11,11:35,12:55,80
VST107,V107,TK3,2025-10-11,12:00,13:20,80
VST108,V108,TK1,2025-10-11,12:25,13:50,85
VST109,V109,TK4,2025-10-11,13:00,14:20,80
VST110,V110,TK2,2025-10-11,13:30,14:50,80
VST111,V111,TK1,2025-10-12,9:10,10:30,80
VST112,V112,TK3,2025-10-12,9:40,11:05,85
VST113,V113,TK2,2025-10-12,10:15,11:40,85
VST114,V114,TK4,2025-10-12,10:45,12:10,85
VST115,V115,TK1,2025-10-12,11:10,12:30,80
VST116,V116,TK3,2025-10-12,11:40,13:05,85
VST117,V117,TK2,2025-10-12,12:10,13:30,80
VST118,V118,TK1,2025-10-12,12:35,14:00,85
VST119,V119,TK4,2025-10-12,13:00,14:20,80
VST120,V120,TK2,2025-10-12,13:30,14:55,85
VST121,V121,TK1,2025-10-13,9:05,10:25,80
VST122,V122,TK3,2025-10-13,9:30,10:50,80
VST123,V123,TK2,2025-10-13,10:10,11:30,80
VST124,V124,TK4,2025-10-13,10:40,12:00,80
VST125,V125,TK1,2025-10-13,11:05,12:30,85
VST126,V126,TK3,2025-10-13,11:30,12:50,80
VST127,V127,TK2,2025-10-13,12:00,13:20,80
VST128,V128,TK1,2025-10-13,12:30,13:50,80
VST129,V129,TK4,2025-10-13,13:00,14:25,85
VST130,V130,TK2,2025-10-13,13:30,14:55,85
VST131,V131,TK1,2025-10-14,9:15,10:35,80
VST132,V132,TK3,2025-10-14,9:40,11:00,80
VST133,V133,TK2,2025-10-14,10:10,11:30,80
VST134,V134,TK4,2025-10-14,10:45,12:05,80
VST135,V135,TK1,2025-10-14,11:10,12:35,85
VST136,V136,TK3,2025-10-14,11:35,12:55,80
VST137,V137,TK2,2025-10-14,12:10,13:30,80
VST138,V138,TK1,2025-10-14,12:35,14:00,85
VST139,V139,TK4,2025-10-14,13:00,14:20,80
VST140,V140,TK2,2025-10-14,13:30,14:50,80
VST141,V141,TK1,2025-10-15,9:05,10:25,80
VST142,V142,TK3,2025-10-15,9:30,10:55,85
VST143,V143,TK2,2025-10-15,10:10,11:30,80
VST144,V144,TK4,2025-10-15,10:45,12:05,80
VST145,V145,TK1,2025-10-15,11:10,12:35,85
VST146,V146,TK3,2025-10-15,11:35,12:55,80
VST147,V147,TK2,2025-10-15,12:10,13:30,80
VST148,V148,TK1,2025-10-15,12:35,14:00,85
VST149,V149,TK4,2025-10-15,13:00,14:20,80
VST150,V150,TK2,2025-10-15,13:30,14:55,85
VST151,V151,TK1,2025-10-16,9:10,10:30,80
VST152,V152,TK3,2025-10-16,9:40,11:00,80
VST153,V153,TK2,2025-10-16,10:15,11:35,80
VST154,V154,TK4,2025-10-16,10:50,12:10,80
VST155,V155,TK1,2025-10-16,11:10,12:30,80
VST156,V156,TK3,2025-10-16,11:40,13:05,85
VST157,V157,TK2,2025-10-16,12:10,13:30,80
VST158,V158,TK1,2025-10-16,12:35,14:00,85
VST159,V159,TK4,2025-10-16,13:00,14:20,80
VST160,V160,TK2,2025-10-16,13:30,14:55,85
VST161,V161,TK1,2025-10-17,9:05,10:25,80
VST162,V162,TK3,2025-10-17,9:30,10:50,80
VST163,V163,TK2,2025-10-17,10:10,11:30,80
VST164,V164,TK4,2025-10-17,10:45,12:05,80
VST165,V165,TK1,2025-10-17,11:10,12:35,85
VST166,V166,TK3,2025-10-17,11:35,12:55,80
VST167,V167,TK2,2025-10-17,12:10,13:30,80
VST168,V168,TK1,2025-10-17,12:35,14:00,85
VST169,V169,TK4,2025-10-17,13:00,14:20,80
VST170,V170,TK2,2025-10-17,13:30,14:55,85
VST171,V001,TK1,2025-10-18,9:10,10:30,80
VST172,V002,TK2,2025-10-18,9:35,11:00,85
VST173,V003,TK3,2025-10-18,10:00,11:25,85
VST174,V004,TK4,2025-10-18,10:40,12:00,80
VST175,V005,TK1,2025-10-18,11:10,12:30,80
VST176,V006,TK2,2025-10-18,11:40,13:00,80
VST177,V007,TK3,2025-10-18,12:05,13:25,80
VST178,V008,TK1,2025-10-18,12:35,14:00,85
VST179,V009,TK4,2025-10-18,13:00,14:20,80
VST180,V010,TK2,2025-10-18,13:30,14:50,80
VST181,V011,TK1,2025-10-19,9:05,10:25,80
VST182,V012,TK3,2025-10-19,9:35,10:55,80
VST183,V013,TK2,2025-10-19,10:10,11:30,80
VST184,V014,TK4,2025-10-19,10:45,12:05,80
VST185,V015,TK1,2025-10-19,11:10,12:30,80
VST186,V016,TK3,2025-10-19,11:35,12:55,80
VST187,V017,TK2,2025-10-19,12:05,13:25,80
VST188,V018,TK1,2025-10-19,12:35,14:00,85
VST189,V019,TK4,2025-10-19,13:00,14:20,80
VST190,V020,TK2,2025-10-19,13:30,14:50,80
VST191,V021,TK1,2025-10-20,9:10,10:30,80
VST192,V022,TK3,2025-10-20,9:35,10:55,80
VST193,V023,TK2,2025-10-20,10:10,11:30,80
VST194,V024,TK4,2025-10-20,10:45,12:05,80
VST195,V025,TK1,2025-10-20,11:10,12:30,80
VST196,V026,TK3,2025-10-20,11:35,12:55,80
VST197,V027,TK2,2025-10-20,12:05,13:25,80
VST198,V028,TK1,2025-10-20,12:35,14:00,85
VST199,V029,TK4,2025-10-20,13:00,14:20,80
VST200,V030,TK2,2025-10-20,13:30,14:50,80
VST201,V031,TK1,2025-10-21,9:05,10:25,80
VST202,V032,TK3,2025-10-21,9:35,10:55,80
VST203,V033,TK2,2025-10-21,10:10,11:30,80
VST204,V034,TK4,2025-10-21,10:45,12:05,80
VST205,V035,TK1,2025-10-21,11:10,12:30,80
VST206,V036,TK3,2025-10-21,11:35,12:55,80
VST207,V037,TK2,2025-10-21,12:05,13:25,80
VST208,V038,TK1,2025-10-21,12:35,14:00,85
VST209,V039,TK4,2025-10-21,13:00,14:20,80
VST210,V040,TK2,2025-10-21,13:30,14:50,80
VST211,V041,TK1,2025-10-22,9:10,10:30,80
VST212,V042,TK3,2025-10-22,9:35,10:55,80
VST213,V043,TK2,2025-10-22,10:10,11:30,80
VST214,V044,TK4,2025-10-22,10:45,12:05,80
VST215,V045,TK1,2025-10-22,11:10,12:30,80
VST216,V046,TK3,2025-10-22,11:35,12:55,80
VST217,V047,TK2,2025-10-22,12:05,13:25,80
VST218,V048,TK1,2025-10-22,12:35,14:00,85
VST219,V049,TK4,2025-10-22,13:00,14:20,80
VST220,V050,TK2,2025-10-22,13:30,14:50,80
